time,lat,lon,alt,prev_lat,prev_lon,prev_alt,z0,z1,z2,r0,r1,r2,offset_r,offset_f,offset_u,dEast,dNorth,dUp,multipathMultiplier,along_track_stretch,temp,last_odo,last_odo_valid,wz_avg,hacc,decay_factor,speed,yaw,yaw_avg,filtered_speed_diff,stretch_max,maxScalar
150.910750,37.398804200,-121.979404800,-21.594999313,37.398804228,-121.979406283,-21.801954,0.025885,0.127491,-0.202139,0.810000,0.810000,0.376358,0.000000,0.000000,0.000000,-0.398450,0.033295,-0.042999,1.000000,1.000000,0.900000,0.000000,0,1.364575,0.384000,0.050000,1.611000,-1.493801,-99.994707,-0.010532,0.000000,1.000000
151.160747,37.398804600,-121.979409500,-21.611999512,37.398804561,-121.979411371,-21.850715,0.023985,0.162748,-0.232658,0.810000,0.810000,0.375156,0.000000,0.000000,0.000000,-0.416158,0.044394,-0.017000,1.000000,1.000000,0.900000,0.000000,0,2.095995,0.384000,0.050000,1.695000,-1.484633,-99.833788,-0.010705,0.000000,1.000000
151.410758,37.398805100,-121.979413900,-21.628000259,37.398804885,-121.979415994,-21.898286,0.007563,0.186413,-0.263613,0.810000,0.810000,0.390625,0.000000,0.000000,0.000000,-0.389595,0.055492,-0.016001,1.000000,1.000000,0.900000,0.000000,0,5.032032,0.384000,0.049680,1.574000,-1.467123,-99.664727,-0.010525,0.000000,1.000000
151.650742,37.398805400,-121.979418200,-21.667999268,37.398805237,-121.979420357,-21.931783,0.013692,0.190691,-0.257057,0.810000,0.810000,0.390625,0.000000,0.000000,0.000000,-0.380741,0.033295,-0.039999,1.000000,1.000000,0.900000,0.000000,0,5.079866,0.383000,0.049201,1.547000,-1.448149,-99.486753,-0.010653,0.000000,1.000000
151.910737,37.398805800,-121.979422900,-21.687999725,37.398805609,-121.979425303,-21.966568,0.013491,0.212761,-0.271102,0.810000,0.810000,0.388129,0.000000,0.000000,0.000000,-0.416158,0.044394,-0.020000,1.000000,1.000000,0.900000,0.000000,0,8.736838,0.383000,0.012632,1.690000,-1.411388,-99.291765,-0.010741,0.000000,1.000000
152.160749,37.398806500,-121.979427500,-21.708999634,37.398806230,-121.979430035,-21.991162,0.005781,0.226148,-0.274542,0.810000,0.810000,0.386884,0.000000,0.000000,0.000000,-0.407304,0.077689,-0.021000,1.000000,1.000000,0.900000,0.000000,0,9.837981,0.382000,0.001620,1.695000,-1.373061,-99.079202,-0.011169,0.000000,1.000000
152.410746,37.398807400,-121.979432400,-21.725000381,37.398806955,-121.979435091,-22.015738,-0.012138,0.243594,-0.283005,0.810000,0.810000,0.388129,0.000000,0.000000,0.000000,-0.433867,0.099886,-0.016001,1.000000,1.000000,0.900000,0.000000,0,14.055823,0.382000,0.000000,1.796000,-1.317227,-98.841471,-0.011235,0.000000,1.000000
152.660742,37.398808500,-121.979437900,-21.752000809,37.398808128,-121.979440537,-22.036470,-0.005972,0.237310,-0.277229,0.810000,0.810000,0.386884,0.000000,0.000000,0.000000,-0.486994,0.122083,-0.027000,1.000000,1.000000,0.900000,0.000000,0,14.859669,0.382000,0.000000,2.023000,-1.252294,-98.574970,-0.011294,0.000000,1.000000
152.900755,37.398810200,-121.979443600,-21.667999268,37.398809773,-121.979445699,-21.975936,-0.020099,0.191419,-0.302610,0.810000,0.810000,0.385641,0.000000,0.000000,0.000000,-0.504703,0.188674,0.084002,1.000000,1.000000,0.900000,0.000000,0,16.988487,0.381000,0.000000,2.187000,-1.185748,-98.279701,-0.011634,0.000000,1.000000
153.160766,37.398812400,-121.979449700,-21.600999832,37.398811760,-121.979451578,-21.869196,-0.047399,0.175804,-0.263819,0.810000,0.810000,0.385641,0.000000,0.000000,0.000000,-0.540121,0.244166,0.066999,1.000000,1.000000,0.900000,0.000000,0,16.661608,0.380000,0.000000,2.401000,-1.104588,-97.950609,-0.011941,0.000000,1.000000
153.400749,37.398814800,-121.979455900,-21.558000565,37.398814320,-121.979457112,-21.823197,-0.038637,0.114242,-0.262709,0.810000,0.810000,0.385641,0.000000,0.000000,0.000000,-0.548975,0.266363,0.042999,1.000000,1.000000,0.900000,0.000000,0,19.953474,0.380000,0.000000,2.437000,-1.030819,-97.591703,-0.011679,0.000000,1.000000
153.650746,37.398817900,-121.979462400,-21.545000076,37.398817684,-121.979463399,-21.767732,-0.012747,0.090953,-0.220840,0.810000,0.810000,0.385641,0.000000,0.000000,0.000000,-0.575538,0.344053,0.013000,1.000000,1.000000,0.900000,0.000000,0,21.095894,0.379000,0.000000,2.703000,-0.937406,-97.197103,-0.011832,0.000000,1.000000
